otel_adi,yorum,hizmet,tarih,puan
Green Bay Resort & Spa Bodrum,"Öncelikle denizi ve plajı çok güzel konumu da çok güzel denizi çarşaf gibi daha önce bir çok koy ve plaja sahile gitmiş biri olarak bu yorumu yapıyorum.
Odada ciddi anlamda hijyen sorunu var çarşaflarda kıl vardı değiştirmiyorlar sinek ve uçan böcekten uyuyamadık her yerimizi ısırdılar ilaçlama yönünden zayıf,yemek konusunda ise yine aynı beğenenleri anlamıyorum 5 yıldızlı bodrumda başka otellere gitmemişler sanırım ben daha önce 2 kere bodrumda 5 yıldızlı otele gittim ilk defa böyle yemekleri lezzetsiz hep aynı yemekleri çıkaran tabakları kirli bardakları lekeli bir otelde kalmadım. Bardakları bile plastik boyası çıkmış ya da bildiğiniz karton bardakta içecek veriyorlar sahilde kırılır diyeymiş ilk defa böyle uygulama duydum sanki normalde kırılmayacak.soğuk kahvesi bile şekerli süt gibiydi. 3 günlük kısırı raftan indirmediler bi daha birçok mezeyi her gün koydular.baklavaları çok güzeldi sürekli tatlı yedim.
Birde acayip bir gider kokusu var açık alanda bile .ben bu yorumu daha önce birçok otele gitmiş biri olarak yapıyorum ve beğenmedim bir dhaa asla . Ayrıca yarın 2 ye kadar olan 4 günlük rezervasyonumu 1 gün erken bitirdim çünkü dayanamadım bugün sabah ayrıldım ha birde ilk girdiğimiz günden beri sıcak su akmıyor dedik personel geldi baktı fakat 3 gündür su düzelmedi kaç kere baktılar soğuk akıyor hep soğuk suyla duş aldık hep bir daha asla gitmem. Salataları da beklemekten solmuş bozulmuştu ana restoran yanındaki genel kadınlar tuvaleti pislik içindeydi mikrop kapmaktan korktum onunda fotoğrafını çekecektim ama midem bulandı.",,Google üzerinde 2 ay önce,1/5
Green Bay Resort & Spa Bodrum,"Uzun süre sonra yaptığımız 5* ve her şey dahil konsept konaklamalarından biriydi. Otel çocuklu aileler için muazzam. Her şey ulaşılabilir ve otelin büyüklüğü içinde kaybolacak ölçüde olmaması açısından oldukça güzel. Çalışan sayısı oldukça fazla ve yardım severler.
Gün boyunca animasyon gösterileri, sizi hayatta tutmaya çalışan ekip iyi hissettiriyor. Yemekler fena değil. 7/10 diyebiliriz. Otelin ağzına kadar dolu olduğu bir dönemde olmamıza rağmen kuyruklar bekledik, aç kaldık falan diyemem. Gayet makul ve iyiydi.
Odalarda televizyon iki çalışıyor bir çalışmıyor. Yayın gidip geliyor. Keza wifi sistemi de benzer. Bence mutlaka elden geçmesi lazım.
Bu büyüklükte bir otelin masa tenisi masasındaki file içler acısıydı. Belli ki ya kimse bakmıyor ya da kimsenin umurunda değil. Halbuki beş paralık bir şey ve tüm gün ilgi görüyor. Sayısının iki olması ve filenin elden geçmesi bence yerinde karar olur.
Otelin tenis kortları da Tekirdağ Maris Tenis Kulübünün konaklama istemesiyle boyatılmış. İyi ki gelmişler. Çünkü bu tesise hiç yakışmayan ikinci bir gelişim alanı.
Deniz muazzam. İskeleler çok güzel. Akşamı ayrı, gündüzü ayrı tesis için teşekkürler Kilit Ailesi ve otel yöneticileri 🙏🏻
Biz seneye de gelebiliriz diye otelinizden ayrılıyoruz ve en güzel reklamı yaptınız. Müşterimizin tavsiye etmesine neden oldunuz. Tebrikler 🎊","Odalar4,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Çocuklar için uygun
OdalarHap gibi ama gayet yeterli.
Yürüme olanaklarıOtel büyüklüğü ideal. Her tarafa yürünebilir.
Yiyecek ve içecekler7/10 diyebiliriz.
Önemli ayrıntılarUzun uzun gelişim alanlarını ve iyi olan yanlarını ana mesajımda derledim.",Google üzerinde 2 ay önce,5/5
Green Bay Resort & Spa Bodrum,"Green Bay Resort'ta güzel bir tatil geçirdik. Otelin en büyük avantajı koydaki tek otel olması. Muhteşem bir doğanın içinde, sakin ve berrak deniziyle gerçekten dinlendirici bir ortam sunuyor. Otel tam dolu olmasına rağmen koyun genişliği sayesinde kalabalık hissedilmiyor.
Çocuğumuz tenis kampına katıldı. Kortlar yeni boyanmıştı ve kamp organizasyonu oldukça başarılıydı. Personel genel olarak güler yüzlü, yardımsever ve çözüm odaklıydı.
Yemekler konusunda ise kalite her gün aynı seviyede değildi. Bazı öğünler idare ederken bazıları gerçekten çok lezzetliydi. Biraz daha istikrarlı bir kalite yakalanabilirse çok daha iyi olur. Deniz son derece sakin olduğu için özellikle çocuklu aileler ve su sporlarıyla ilgilenenler için çok uygun.
Olumsuz taraflara gelecek olursak; barlarda deneyimli bir barmen bulunmaması en büyük eksiklikti. Bar personelinin çoğu garsondu ve içecek hazırlama konusunda yeterli bilgiye sahip değildi. Bu durum hem alkollü hem de alkolsüz içecek alan misafirlerin bekleme süresini uzatıyordu. Her barda en az bir tecrübeli barmen olması hizmet kalitesini ciddi şekilde artıracaktır. Ayrıca barlarda çoğu zaman çerez bulunmaması da küçük ama hissedilen bir eksikti.
Odaların temizliği ise standart değildi. Bazı odalar yeterince temiz değildi ve housekeeping hizmetinin güçlendirilmesi gerektiğini düşünüyorum. Ayrıca otelde daha önce tadilat yapıldığı belli oluyor ancak işçilik kalitesi bazı noktalarda beklentinin altında kalmış.
Genel olarak doğası, denizi ve personeli sayesinde keyif aldığımız bir tatil oldu. Özellikle hizmet kalitesindeki birkaç eksik giderilirse çok daha başarılı bir tesis olacağına inanıyorum.",,Google üzerinde bir ay önce,5/5
Green Bay Resort & Spa Bodrum,"Otele ilk vardığımızda araç park edecek yer olmadığı için otelin en uzak noktasındaki personel otoparkına yönlendirildik. Otele giriş esnasında resepsiyon tarafından gerekli bilgilendirmeler yapılmadı (yemek ve organizasyon saatleri vb), odalar görüntülerdekinden daha küçüktü ve çok eskiydi, temizlik çok kötüydü, odadaki tüm mobilyalarda anlam veremediğimiz bir yapışkanlık vardı, silsek de geçmedi. Yorgan, çarşaf ve yastıklarda sinek ölüsü lekeleri vardı. Ayrıca her gün oda temizliği talep etmemize rağmen çarşaf ve havlular değiştirilmemişti. Bizim talebimiz üzerine sadece yeni yorgan getirildi. Bölge ormanlık bir arazi olduğundan çok fazla sinek ve böcek mevcut fakat odanın balkon kapısında sineklik mevcut değildi ve sökülmüştü. Hiçbir şekilde ilaçlama vs yapıldığını görmedik. Otel personelleri birden fazla alanda görevlendirildikleri için yorgunlukları ve bitkinlikleri yüzlerinden okunuyor ve hizmetlerine yansıyordu. Sadece fast food servisi olan snack barda bile bir yemeğin gelmesi 50 dk sürdü o da eksik bir şekilde 4. hatırlatma sonunda geldi. Odalar çok ses geçiriyor, bütün çocuk ağlamaları sabah odanın içerisindeydi. Plajda şezlong bulmak mümkün değil, insanlar sabah erkenden havlu bırakıp akşama kadar uğramıyorlar. Birkaç personel dışında kokteyl yapmayı bilen kimse yok. Basit bir içecek almak için bile yarım saatlik kuyruk beklemeniz gerekiyor. Yemekler hep soğuk servis ediliyor, tam saatinde bile restoranta gitseniz yine de soğuk yemeklerle karşılaşıyorsunuz. Çatal bıçaklar ve tabaklar lekeli. Yemek çeşitliliği çok az her gün aynı yemekler çıkıyor. Izgara bölümünde servis yapan kişiler yemek bekleyen misafirlere ramazan çadırındaymış gibi davranıyorlar. Tatilimizin son gününe kadar bekleyemeden otelden çıkış yaptık. Bir daha kesinlikle tercih etmeyeceğimiz bir yer oldu.","Odalar1,0Hizmet1,0Konum3,0",Google üzerinde 2 ay önce,1/5
Green Bay Resort & Spa Bodrum,"Otel genel olarak beklentimizi karşıladı ve keyifli bir tatil geçirdik. Konum olarak gerçekten çok güzel bir koyda yer alıyor; etrafının yeşillik ve ağaçlarla çevrili olması çok hoştu. Otelin çok büyük olmaması da bizim için avantajdı. Kompakt bir yapısı var, her yere rahat ulaşabiliyorsunuz ve insanı yormuyor.
Yemekler genel olarak lezzetliydi ancak çeşitlilik açısından biraz daha geliştirilebilir. Özellikle her gün benzer seçeneklerin olması ve yoğunlukta bazı ürünlerin hızlı tükenip yenilenmemesi dikkat çekti. Erken saatte yemeğe gelenlerle daha geç gelenler aynı seçenekleri bulamayabiliyor. Izgara bölümünde de yoğun saatlerde ciddi sıra oluşuyordu ve bazen sırada beklemek yorucu olabiliyordu.
Temizlik genel olarak iyiydi. Sadece bazı yoğun saatlerde bar bölümündeki bardaklarda lekeler gördük; hijyen konusunda biraz daha dikkat edilebilir.
Animasyon ve eğlence tarafını özellikle çok beğendik. Ekip oldukça ilgili ve enerjikti. Çocuklar için de keyifliydi; oğlum da tatilden çok keyif aldı. Yetişkinler için de güzel bir ortam vardı.
Snack bar ve à la carte restoranda bizimle ilgilenen Seyfi Bey’e ayrıca teşekkür etmek isterim. İlgili, nazik ve profesyonel yaklaşımı gerçekten çok kıymetliydi. Hizmet sektöründeki deneyimi ve misafirle kurduğu iletişim bunu net şekilde hissettiriyor.
Olumsuz olarak akşam saatlerinde sinekler gerçekten rahatsız edici olabiliyor. Bir de snack/bar bölümünde servis sadece masaya yapıldığı için yoğunlukta bekleme süreleri uzuyordu ve siparişler karışabiliyordu. Bazı alanlara servis olmaması da biraz zorlayıcıydı; bazen bir şey alıp sahile geçmek daha pratik olabilirdi.
Genel olarak güzel bir tatil geçirdik. Tekrar gelir miyiz derseniz evet gelebiliriz. Özellikle doğası, koyu ve kompakt yapısını sevdik. Yeme-içme çeşitliliği, ürünlerin daha sık yenilenmesi ve servis/hijyen tarafında yapılacak birkaç iyileştirmeyle çok daha keyifli bir deneyim olabilir.","Odalar4,0Hizmet4,0Konum5,0",Google üzerinde 2 ay önce,4/5
Green Bay Resort & Spa Bodrum,5 senedir bu otele geliyoruz bu sene tamamen rezalet rezil olduk paramızla nereden başlayacağımı bilemiyorum hizmet kalitesi sıfır. Gelirken şampuanınızı ve kremlerinizi getirmeniz gerekiyor artık odalarda şampuan krem ve duş jeli olmuyor öte yandan gözlemeci teyzeler olurdu nostaljik kendi elleriyle açarlardı artık gözlemenin başında 14 yaşında bir küçük çocuk dondurulmuş hazır yufka ile bize servis yapmaya çalışıyor öte yandan waffle üzerine sadece bozuk bir muz koyuluyor otelde ıce tea şeftali ve limon istiyoruz bu sene gelmedi deniliyor. Garsonlardan içecek istiyoruz self servis gidip kendiniz alınız demiyor müdürlerini çağırdığım zaman kusura bakmayın o arkadaş işe yeni başladı bilmiyor cevabını aldık. Hemen hemen sıcak olan bütün yemekleri tamamen soğuk şekilde yemek zorunda kaldık. Daha önceki senelerde sinek vardı da bir gün etkenler bir gün tavuk döner çıkıyordu 6 gündür üst üste sadece tavuk döner çıktı ve onu yemek zorunda kaldık. Barmen yok denecek kadar az. neyi neyle karıştıracağını bilmeyip Google'dan karışım yapmaya çalışıyor. Dogasi için gelmek isterseniz buyurun gelin Bizim paramız çöp oldu,"Odalar1,0Hizmet1,0Konum5,0",Google üzerinde 2 ay önce,1/5
Green Bay Resort & Spa Bodrum,"⭐ Konum ve Deniz – 10/10
Otelin en büyük artısı kesinlikle konumu. Kendine ait özel koyu bulunuyor ve denizi sadece otel misafirleri kullanabiliyor. Deniz inanılmaz temiz, berrak ve cam gibi. İki adet iskelesi var ve biz tatilin büyük kısmını iskelede geçirdik. İskelelerden denize girmek çok keyifliydi. Plaj tarafı çocuklu ailelerin yoğunluğu nedeniyle daha kalabalık olabiliyor.
🛏️ Oda Büyüklüğü – 5/10
Odalar maalesef oldukça küçük. İki kişinin rahat hareket etmesi bile zor oluyor. Bu konuda beklentimizi karşılamadı.
🛌 Yatak ve Yastık Konforu – 4/10
Yatakların artık eskidiğini düşünüyorum. Yayları oldukça gevşemiş ve konforlu değildi. Yastıklar da çok eski ve incelmişti. Rahat uyuyabilmek için ekstra yastık istemek zorunda kaldık.
🧹 Oda Temizliği – 5/10
İlk girişte banyoda lavabo altlarında toz, saç ve tüyler vardı. Duş alanı da yeterince temiz değildi. Çarşaflar temizdi ancak genel banyo temizliği daha özenli yapılabilirdi. Ayrıca günlük oda temizliği sonrası kulak pamuğu- bone gibi kullanılan malzemeler yenilenmiyordu. Mini bar da bazı günler eksik bırakıldı.
🍳 Kahvaltı – 6/10
Çeşit olarak oldukça zengindi. Peynir ve şarküteri ürünleri fazlaydı. Ancak sıcak ürünler beklentimizin altındaydı. Pişiler yağ çekmiş ve içi hamurdu. Pankek sırası sürekli uzundu, 10-15 dakika bekleniyordu . Yumurtalarda kullanılan yağın tadını da çok beğenmedik.
🍽️ Akşam Yemekleri – 8/10
Meze, ara sıcak ve zeytinyağlı çeşitliliği gerçekten çok başarılıydı. İçli köfte, dolmalar ve mezeler çok lezzetliydi. Ancak ana yemeklerde çeşitlilik azdı. Her gün neredeyse aynı ızgara ürünleri (çupra, köfte, tavuk, Adana kebap) servis ediliyordu.
🍔 Snack Bar – 4/10
Makarna, hamburger, pizza gibi ürünler bulunuyor. Ancak bizim tabağımızdan kıl çıktı ve değiştirmek zorunda kaldık. Hijyen konusunda dikkat edilmesi gerektiğini düşünüyorum. Servis de oldukça yavaştı.
🍸 Bar ve Kokteyller – 8/10
Kokteyllerin lezzeti ve alkol oranı başarılıydı. Ancak özellikle akşam saatlerinde iki barmen yoğunluğa yetişemiyordu. Önünüzde birkaç kişi olsa bile içeceğinizi almak 20-25 dakikayı bulabiliyordu. Gün icerisinde de İskelede boş bardaklar uzun süre toplanmıyordu.
👨‍🍳 Servis – 5/10
Bayram yoğunluğu nedeniyle personel sayısı yetersiz kalmıştı. Restoran, snack bar ve barlarda servis oldukça yavaştı. Garsonların sizi fark etmesini beklemek zorunda kalıyordunuz.
🏖️ Plaj ve İskele – 10/10
İskeleler oldukça keyifliydi ve denize girmek çok rahattı.
👮 Cankurtaran Ekibi – 10/10
Otelde en beğendiğimiz ekip kesinlikle cankurtaranlardı. Gün boyu görevlerinin başındaydılar, yüzme sınırını aşan misafirleri sürekli uyardılar ve oldukça güler yüzlüydüler. İhtiyacımız olduğunda da hemen yardımcı oldular.
🎭 Eğlence ve Aktiviteler – 7/10
Türk Gecesi ve İskender Paydaş’ın sahne aldığı akşam oldukça keyifliydi. Ancak genel olarak otel daha sakin bir profile sahip. Gün icinde animasyon ekibinden alınan tavla ve iskambil gibi ekipmanlar yetersizdi, çoğu zaman sıra gelmedi.
🛒 Market – 1/10
Otel içerisindeki marketin fiyatları kabul edilebilir seviyenin çok üzerindeydi. Bir paket cips ve bir çikolata için 500 TL istendi. iki ürünün güncel market fiyati 100-120 TL. Bu fiyatlandırmanın denetlenmesi gerektiğini düşünüyorum.
👨‍👩‍👧 Kimler İçin Uygun?
Çocuklu aileler için oldukça uygun bir otel. Gün içinde çocuklara yönelik aktiviteler yeterli. Ancak çocuksuz çiftler için aynı şeyi söyleyemem. Restoran ve ortak alanlarda çok fazla çocuk olduğu için gürültü ve yoğunluk hissediliyor. Daha sakin ve dinlenme odaklı tatil isteyenlere yetişkin konseptli otelleri tavsiye ederim.
⭐ Genel Değerlendirme
Denizi, özel koyu ve doğal güzelliği sayesinde keyif aldığımız bir tatil oldu. Ancak oda konforu, temizlik, servis hızı ve personel sayısı konusunda ciddi geliştirmeler yapılması gerektiğini düşünüyorum. Deniz odaklı tatil yapmak isteyen aileler memnun kalabilir, ancak sakinlik arayan çiftlerin beklentisini tam karşılamayabilir.","Odalar2,0Hizmet3,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Çocuklar için uygun
Odalar🛏️ Oda Büyüklüğü – 5/10 Odalar maalesef oldukça küçük. İki kişinin rahat hareket etmesi bile zor oluyor. Bu konuda beklentimizi karşılamadı. 🛌 Yatak ve Yastık Konforu – 4/10 Yatakların artık eskidiğini düşünüyorum. Yayları oldukça gevşemiş ve konforlu değildi. Yastıklar da çok eski ve incelmişti. Rahat uyuyabilmek için ekstra yastık istemek zorunda kaldık. 🧹 Oda Temizliği – 5/10 İlk girişte banyoda lavabo altlarında toz, saç ve tüyler vardı. Duş alanı da yeterince temiz değildi. Çarşaflar temizdi ancak genel banyo temizliği daha özenli yapılabilirdi. Ayrıca günlük oda temizliği sonrası kulak pamuğu- bone gibi kullanılan malzemeler yenilenmiyordu. Mini bar da bazı günler eksik bırakıldı.
Güvenlik👮 Cankurtaran Ekibi – 10/10 Otelde en beğendiğimiz ekip kesinlikle cankurtaranlardı. Gün boyu görevlerinin başındaydılar, yüzme sınırını aşan misafirleri sürekli uyardılar ve oldukça güler yüzlüydüler. İhtiyacımız olduğunda da hemen yardımcı oldular.
Yiyecek ve içecekler🍳 Kahvaltı – 6/10 Çeşit olarak oldukça zengindi. Peynir ve şarküteri ürünleri fazlaydı. Ancak sıcak ürünler beklentimizin altındaydı. Pişiler yağ çekmiş ve içi hamurdu. Pankek sırası sürekli uzundu, 10-15 dakika bekleniyordu . Yumurtalarda kullanılan yağın tadını da çok beğenmedik. 🍽️ Akşam Yemekleri – 8/10 Meze, ara sıcak ve zeytinyağlı çeşitliliği gerçekten çok başarılıydı. İçli köfte, dolmalar ve mezeler çok lezzetliydi. Ancak ana yemeklerde çeşitlilik azdı. Her gün neredeyse aynı ızgara ürünleri (çupra, köfte, tavuk, Adana kebap) servis ediliyordu. 🍔 Snack Bar – 4/10 Makarna, hamburger, pizza gibi ürünler bulunuyor. Ancak bizim tabağımızdan kıl çıktı ve değiştirmek zorunda kaldık. Hijyen konusunda dikkat edilmesi gerektiğini düşünüyorum. Servis de oldukça yavaştı. 🍸 Bar ve Kokteyller – 8/10 Kokteyllerin lezzeti ve alkol oranı başarılıydı. Ancak özellikle akşam saatlerinde iki barmen yoğunluğa yetişemiyordu. Önünüzde birkaç kişi olsa bile içeceğinizi almak 20-25 dakikayı bulabiliyordu. Gün icerisinde de İskelede boş bardaklar uzun süre toplanmıyordu. 👨‍🍳 Servis – 5/10 Bayram yoğunluğu nedeniyle personel sayısı yetersiz kalmıştı. Restoran, snack bar ve barlarda servis oldukça yavaştı. Garsonların sizi fark etmesini beklemek zorunda kalıyordunuz.",Google üzerinde bir ay önce,3/5
Green Bay Resort & Spa Bodrum,"27-31 Mayıs tarihleri arasında 5 grup olarak bu otelde konakladık. Öncelikle olumlu yönlerden bahsetmek isterim. Otelin bir koya kurulmuş olması sayesinde doğası ve denizi gerçekten çok güzeldi. Ancak uzak iskelede duş imkânı bulunmaması önemli bir eksiklikti. Denizden çıkan misafirlerin kullanabileceği duş alanlarının eklenmesi faydalı olacaktır.
Otel çalışanları genel olarak yardımseverdi ve yoğunluğa rağmen ellerinden gelenin en iyisini yapmaya çalışıyorlardı. Özellikle resepsiyonda görev yapan Can Bey'e teşekkür etmek isterim; kendisine ilettiğimiz geri bildirimler hızlı şekilde çözüme kavuştu.
Ne yazık ki olumsuz deneyimlerimiz de oldu. Oda kartımızı ancak saat 14.35'te teslim alabildik ve geç giriş nedeniyle herhangi bir telafi sunulmadı. Odaya çıktığımızda ise temizlik konusunda ciddi eksiklikler olduğunu gördük. Banyoda ve dekoratif yastıkların üzerinde saçlar vardı, ayrıca bazı mobilyaların yüzeyleri yapışkan durumdaydı. Tesiste yeterli ilaçlama yapılmadığını düşünüyorum çünkü konaklamamız boyunca sinekler tarafından oldukça fazla ısırıldık ve bu durum ciddi rahatsızlık yarattı.
Yemekler konusunda da beklentilerimizin altında kaldık. Menü neredeyse her gün aynıydı ve midye dolma dışında lezzetli ya da kaliteli bulduğumuz çok az seçenek vardı. Özellikle kahvaltı saatlerinde uzun kuyruklar oluşuyordu. Snack bar ise maalesef tam bir hayal kırıklığıydı; hem ürünlerin lezzeti yetersizdi hem de üçüncü günümüzde oturacak masa bulabilmek için yaklaşık 15 dakika ayakta beklememize rağmen yer bulamayınca ayrılmak zorunda kaldık.
Bu tesiste yaklaşık 3 yıl önce, otel Crystal bünyesindeyken de konaklamıştık. O döneme kıyasla özellikle mutfak hizmetleri ile diğer departmanlar arasında belirgin bir kalite farkı olduğunu rahatlıkla söyleyebilirim.
Sonuç olarak, otelin en büyük artısı denizi ve doğal güzelliği oldu. Bu nedenle puanımın büyük kısmını bu özellikleri için veriyorum. Yüksek potansiyele sahip olan bu tesisin, misafir geri bildirimlerini dikkate alarak hizmet kalitesini geliştirmesini umuyorum. Ancak mevcut hizmet standardıyla yeniden tercih edeceğimi düşünmüyorum.","Odalar2,0Hizmet1,0Konum5,0",Google üzerinde 2 ay önce,2/5
Green Bay Resort & Spa Bodrum,"Haziran ayinda 2 yetiskin 2 cocuk 3 gece olarak konakladik.
Olumlu yönleri:
-konum cok iyi.koy tamamen otele ait.etraf ormanlik,deniz koy nedeniyle dalgasiz,ilik,temiz.iskelelerinde hem gunduz hem aksam vakit gecirmek cok keyifli.sezlonglar otel kapasitesini kaldircak kadar fazla.her havuzda ve denizin birkac bolgesinde cankurtaranlar mevcut(buradan yukari havuzda gorevli cankurtaran kizimin efe abisine tesekkur ederiz😊 minik bir havuz sakalasmasinda arkadasi yuzunden kizim korkup su yutunca efe bey hemen suya atladi.kizimi sakinlestirdi ve milkshake ikram etti.cok ilgiliydi)
-Yemek cesidi bol,mezesi,tatlisi,salata bari,meyvesi derken herkesin kendine gore birseyler bulabilecegini dusunuyorum.izgara hem oglen hem aksam surekli faal.masalar ic ve dis mekan olarak misafire yetiyor.garson arkadaslar icecek servisi yapiyor.
-oda olarak blokaji tesise ait oda sectik.musaitlige gore uygun oda verildi ve icinde cok vakit gecirilmedigini dusundugumuzde buyukluk acisinda bizce yeterliydi.odamizin temizlenmesini istedik temizlendi.ekstra battaniye talep ettik getirildi.hicbir uyari yapmadigimizdada oda toparlanmisti.odamizda sineklik mevcuttu.
-her aksam tiyatroda yetiskinlere ve cocuklara etkinlikler duzenlendi.guzeldi.gec saatlere kadar bar kismindada etkinlikler oluyor.
Olumsuz:
-cocuk oyuncakli havuz ve yetiskin aquasi gunluk 4 saat acik kaliyor.bu durum ne kadar dogru emin degilim.
-butun gun sinek bocek yok.ama tam yemek sonrasi amfi tiyatrodaki etkinlik sirasinda garip bir böcek ve beraberinde sivrisinek basiyor anlatamam.o sirada onlarla mucadele etmekten sahneyi izleyemedik.garip ki sadece o bolgede ve sadece ortalama 1 saat maruz kaliyorsunuz.o anlar disinda bocek skntisi yasamadik.
Genel olarak uygun fiyattan faydalanarak konakladigimiz o 3 gunde fiyat performans olarak memnun ayrildik.","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Çocuklar için uygun",Google üzerinde 2 ay önce,5/5
Green Bay Resort & Spa Bodrum,"Fiyat Performansın Altında
30 Haziran’da giriş yaptığımız 6 gecelik tatilimizde otelin doğası ve denizi tek kelimeyle harikaydı. Ormanlık alanda, dalgasız ve havuz durgunluğunda bir koyda yer alıyor. Ancak deniz 4-5 metreden sonra hızla derinleştiği için yüzme bilmeyenler ve çocuklu aileler için pek uygun olmayabilir. Ayrıca ilaçlama yapılmasına rağmen karasinek ve sivrisinek problemi vardı.
Otelin genel olarak temizliği iyiydi, odaların yenilenmesi gerekiyor yatak ve yastıklar çok rahatsız ediciydi.
Yemekler konusunda alakart restoran ne kadar lezzetliyse, ana restoran o kadar yetersizdi, büfedeki meyve çeşitliliği sadece kavun ve karpuzla sınırlı kalmıştı.
Hizmet tarafında ise çalışanlar genç ve saygılı olmalarına rağmen deneyimsizlerdi. Özellikle bar personeli çok kötüydü; menüdeki standart reçetelere uymayan, oldukça lezzetsiz kokteyller hazırlandı, bu bölüme önem verilmemesinin sebebi de otelde çok fazla turistin olmamasına bağlıyorum. Bu hazırladıkları kokteyli bir ingilize veremezler.
Tesisin acilen hizmet içi eğitimlere ve restoran/bar yönetimine ağırlık vermesi gerekiyor.","Odalar1,0Hizmet2,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara",Google üzerinde bir ay önce düzenlendi,2/5
Green Bay Resort & Spa Bodrum,"çok güzel bir otel çok menun kaldık kendine ait bir koyu olması şahaneydi. ancak akşamları afyonkarahisar termal tesisleri eğlenme alanına benzer ortamları dışında. ilk gün karaokeyi duymamak icin camlarımızı kapatıp uyuduk, ikinci gün oyun havaları eşliğinde adeta bir düğün yaşadık. neyseki ailemle gelmiştim. olurda siz eskaza balayına gelirseniz akşamları dışarda plan yapın. ayrıca çalışanlara cok üzüldük tatil boyunca, çok az kişiler ve yetiştiremiyorlar özellikle mutfakta ocakbaşındaki personellere kahrolduk.","Odalar5,0Hizmet4,0Konum5,0",Google üzerinde bir ay önce,4/5
Green Bay Resort & Spa Bodrum,İlk kez deneyimlendiğimiz bir otel ve fazlasıyla memnun kaldık. Çalışanların hepsi çok güler yüzlü ilgili . Yemekler odalar deniz havuz kısmı otelin bir çok alanı mevcut görsel olarak fotoğraf çekimi olarak gayet güzel çok begendik . Çocuklu aileler içinde gayet uygun sonsuz tavsiyemdir. Kokteyler harika Kerim beye selamlar :),"Odalar5,0Hizmet5,0Konum5,0",Google üzerinde bir ay önce,5/5
Green Bay Resort & Spa Bodrum,Eşimle 6-10 Haziran arası konakladık. Biz genel olarak memnun kaldık otel içinde bir bölgede yoğunluk olmadığı için rahat hareket ediliyordu ve kalabalık görünmüyordu. Konum olarak bir koy içinde tek otel olarak bulunması çok güzel avantaj.Yemekleri gayet yeterliydi çeşit vardı her akşam ızgara tavuk hindi et balık çıkıyordu kahvaltı aynı şekilde her şey vardı rahatlıkla erişebiliyorsunuz. Snack kısmı hamburger pizza spagetti gibi aparatif şeyler vardı. Çoçuk havuzu aquparklı kısım olduğu için eğer çocuğunuz yoksa o bölgelere hiç uğramadan sessiz sakin kafa dinleyeceğiniz +16 havuz kısmında zaman geçirebilirsiniz. Freedom Bar daki Enver bey çok ilgiliydi işinin ehli biriydi ve cankurtaran arkadaş Berk bey de aynı şekildeydi her şey için çok teşekkür ederiz odaların temizliği olsun havluların temizliği olsun gayet düzgündü daha ne olacak. Sahil kısmında çok fazla şezlong vardı rahatlıkla denize girebilirsiniz.Biz sevdik rahat sakin huzurlu bir tatil geçirebilirsiniz. Bizim fikrimiz bu otele şans verin pişman olmazsınız :)))),"Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 2 ay önce,5/5
Green Bay Resort & Spa Bodrum,"Otel bir koyda olduğu için denizi çok canlı baya baya balıklar ile yüzüyorsunuz.
Otel çalışanlar olarak çoook başarılı güler yüzlü yardım severler. Özellikle sneackbarda Efe ve Kerim'e çok teşekkür ederim. Plajda sezlong bulmakda sorun yaşamıyorsunuz. İskelesi güzel +hiçbirşeye para ödemiyorsunuz. Açık büfe yemekleri güzel asla aç kalmazsınız beğenmeyenler için sneack barda da 12 ile 16 arasında istediğiniz feastfood yemekletden de alabilirsiniz. Odalar da günlük temizlik yapılıyor. Aktivitrler güzel
Biz 6 aylık bebeğimiz ile geldik her konuda bize çok yardımcı oldular. Sadece tavsiyem google navigasyon ile gelmeyin saçma sapan yollara girdik ortalama 1 saatten fazla yolu uzatıyor burda bir kaç misafirler ile de görüştüm onlarda aynı şeyi yaşamış. Genel anlamıyla memnunuz bugün tatilimizin 3.günü herkese emekleri için teşekkürler","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde bir ay önce,5/5
